System,Legitimacy,Decision-making,Resource allocation,Defense,Military Technology,Information,Social integration,Succession,Adaptability,Long-Term Stewardship,Transboundary Coordination,Existential Risk Mitigation,Epistemic Governance
Taino Cacique Matrilineage,Zemi cult,Avuncular Chiefdom,Cassava fields,Tribal militias,Duho stool councils,Duho stool councils,Areito dances,Hereditary,Collapse/Rebirth: Spanish collapse of avuncular chiefdoms,Cemis,Ceramic trade,<contentious>,Petroglyphs
Holy Roman Imperial Diarchy,Papal coronation,Decentralized Elective Empire,Reichstag,Feudal levies,Golden Bull,Golden Bull,Electors,Elective,Syncretism: Imperial reform through power-sharing,Aachen Cathedral,Italian trade,<contentious>,Gothic
Domari Blacksmith Networks,Tubal-cain cult,Guild Anarchy,Metalwork,Tribal militias,Oath-bound secrets,Oath-bound secrets,Romani law,Hereditary,Crisis-Specific Innovation: Nomadic resilience through secret languages,Ironwork,Trans-Mediterranean,<contentious>,Metalurgy
Khmer Devaraja,Devaraja cult,Divine Kingship,Rice warehouses,Standing army,Sanskrit inscriptions,Sanskrit inscriptions,Angkor Wat,Dynastic,Reform: Hydraulic empire with temple-focused divine kingship,Baray lakes,Maritime Silk Road,<contentious>,Apsara
Ghana Empire,Wagadu kingship,Ritual Monarchy,Gold caravans,Standing army,Drum communication,Drum communication,Mande clans,Hereditary,Collapse/Rebirth: Almoravid pressure on gold trade federation,Kumbi Saleh,Saharan trade,<contentious>,Griots
Pagan Temple-State,Bagan temples,Architectural Theocracy,Rice donations,Standing army,Pali inscriptions,Pali inscriptions,Theravada Buddhism,Hereditary,Collapse/Rebirth: Mongol invasion disrupting Buddhist networks,Bagan pagodas,Bay of Bengal,<contentious>,Mon
Chola Naval Assemblies,Chola bronzes,Thalassocratic Meritocracy,Naval docks,Naval forces,Copperplate votes,Copperplate votes,Bhakti movement,Election,Reform: Indian Ocean thalassocracy through elected admirals,Brihadeeswarar,Maritime Silk Road,<contentious>,Tamil
Toltec Warrior-Priest State,Quetzalcoatl,Stratocratic Theocracy,Obsidian mines,Permanent warrior class,Pictographic codices,Pictographic codices,Tula cult,Hereditary,Collapse/Rebirth: Drought collapse of militarized theocracy,Tula,Central Mexico,<contentious>,Atlantean
Toltec Warrior-Poet State,Quetzalcoatl,Stratocratic Theocracy,Obsidian mines,Permanent warrior class,Pictographic codices,Pictographic codices,Tula cult,Hereditary,Collapse/Rebirth: Drought collapse of military-artistic elite,Tula,Central Mexico,<contentious>,Toltecayotl
Pomeranian Veleti Tribal Republic,Svetovid cult,Amphibious Democracy,Amber trade,Tribal militias,Oak carving tallies,Oak carving tallies,Slavic paganism,Consensus,Collapse/Rebirth: German crusades against Baltic Slavic clans,Arkona,Baltic trade,<contentious>,Rani
Volga Bulgar Islamic Merchants,Volga trade,Commercial Theocracy,Fur trade,Standing army,Arabic contracts,Arabic contracts,Hanafi Islam,Appointment,Syncretism: Mongol adaption through imam-merchant councils,Bolghar,Volga trade,<contentious>,Epigraphy
Faroe Islands Løgting,Viking law,Arctic Democracy,Sheep farming,Tribal militias,Consensus voting,Consensus voting,Norse paganism,Rotation,Reform: Scandinavian continuity with gender quotas,Tinganes,North Atlantic,<contentious>,Sagas
Icelandic Commonwealth,Althing,Literary Anarchy,Saga writing,Tribal militias,Law rock recitals,Law rock recitals,Norse law,Consensus,Reform: Medieval republic through saga-based precedents,Skálholt,North Atlantic,<contentious>,Eddas
Icelandic Althing,Viking democracy,Arctic Democracy,Fishing rights,Tribal militias,Lawspeaker recitals,Lawspeaker recitals,Norse paganism,Elective,Reform: Oldest parliamentary tradition with outdoor deliberations,Thingvellir,North Atlantic,<contentious>,Grágás
Althingi Carbon-Neutral Parliament,Modern democracy,Sustainable Democracy,Geothermal,Standing army,Digital petitions,Digital petitions,Climate activism,Elections,Reform: 21st c. model through geothermal-powered governance,Reykjavik,Arctic Council,<contentious>,Althing
Nri Kingdom Pacifist Theocracy,Eze Nri,Pacifist Theocracy,Yam tubers,Non-violent resistance,Nsibidi scripts,Nsibidi scripts,Igbo cosmology,Appointment,Collapse/Rebirth: British pressure on iko peace system,Igbo-Ukwu,Trans-African,<contentious>,Nsibidi
Tongan Maritime Tui Empire,Tui Tonga,Thalassocratic Theocracy,Tapa cloth,Naval forces,Oral genealogies,Oral genealogies,Polynesian navigation,Hereditary,Syncretism: Lapita legacy in sacred canoe-borne nobility,Langi tombs,Pacific trade,<contentious>,Fale
Manx Tynwald,Norse-Celtic,Archaic Democracy,Herring fishery,Tribal militias,Rune stone laws,Rune stone laws,Celtic-Norse,Elective,Reform: Continuous parliament with moot hill traditions,Tynwald Hill,Irish Sea,<contentious>,Manx
Jomsviking Warrior Commune,Odin cult,Martial Monasticism,Pirate loot,Permanent warrior class,Initiation oaths,Initiation oaths,Norse paganism,Appointment,Collapse/Rebirth: Danish conquest of mercenary harbor,Jomsborg,Baltic raids,<contentious>,Sagas
Greenland Norse Althing,Viking law,Cryo-Democracy,Whale hunting,Tribal militias,Icehouse votes,Icehouse votes,Norse paganism,Rotation,Collapse/Rebirth: Little Ice Age ending cryo-democracy,Brattahlíð,North Atlantic,<contentious>,Vinland
Gotlandic Sea-Farmer Althing,Gutalag,Agrarian Thalassocracy,Gotlandic sheep,Tribal militias,Runic law stones,Runic law stones,Norse law,Consensus,Syncretism: Hanseatic ties balancing agriculture/piracy,Visby,Baltic trade,<contentious>,Guta
Ruthenian Viche,Slavic assembly,Tribal Democracy,Fur trade,Tribal militias,Bell assemblies,Bell assemblies,East Slavic,Consensus,Collapse/Rebirth: Mongol conquest of Slavic bell assemblies,Kievan Rus',Varangian,<contentious>,Pravda
Swahili Waungwana Councils,Shirazi myth,Urban Oligarchy,Indian Ocean trade,Naval forces,Arabic ledgers,Arabic ledgers,Swahili Islam,Hereditary,Syncretism: Portuguese contact with stone city aristocrats,Kilwa,Indian Ocean,<contentious>,Lamu
Nan Madol Coral Kingdoms,Saudeleur,Coral Theocracy,Megapode eggs,Naval forces,Basalt megaphones,Basalt megaphones,Pohnpei cult,Hereditary,Collapse/Rebirth: Climate collapse of artificial island city,Nan Madol,Micronesian,<contentious>,Basalt
Timucua Waterborne Councils,Water spirit,Lacustrine Democracy,Shellfish beds,Tribal militias,Shell gorgets,Shell gorgets,Mississippian,Consensus,Collapse/Rebirth: Spanish conquest of aquatic governance,Shell mounds,Florida,<contentious>,Shell
Finnish Kalevala Singing Governors,Sampo cult,Poetic Theocracy,Forest products,Tribal militias,Spell songs,Spell songs,Finnic paganism,Charismatic,Collapse/Rebirth: Christianization replacing poetic rule,Kalevala,Baltic,<contentious>,Runos
Sami Noaide Shamanic Bands,Sieidi stones,Animist Gerontocracy,Reindeer herds,Tribal militias,Drum divination,Drum divination,Sami animism,Charismatic,Crisis-Specific Innovation: Arctic resilience through trance-mediums,Sacred sieidi sites,Sápmi collaboration,<contentious>,Joik chants  
Tahitian Arioi Cult Society,Oro priesthood,Ritual Performance Oligarchy,Breadfruit groves,Tribal militias,Chant competitions,Chant competitions,Polynesian tapu,Initiation,Collapse/Rebirth: Missionary suppression of taboo system,Marae temples,Pacific voyaging networks,<contentious>,Oral genealogies  
Siberian Yukaghir Moon Calendar,Lunar totems,Selenocratic Anarchy,Caribou herds,Tribal militias,Carved bone calendars,Carved bone calendars,Arctic shamanism,Charismatic,Crisis-Specific Innovation: Tundra-adaptive lunar hunting bans,Star lore,Evenk alliances,<contentious>,Bone engravings  
Hawaiian Kapu System,Lono priesthood,Sacred Autocracy,Taro ponds,Permanent warrior class,Priestly proclamations,Priestly proclamations,Ali'i hierarchy,Hereditary,Collapse/Rebirth: Colonial collapse of taboo hierarchy,Ahupua'a zones,Pacific trade,<contentious>,Stellar navigation  
Hawaiian Ahupuaʻa System,Vertical ecology,Vertical Resource Communism,Fishponds,Tribal militias,Kapu sticks,Kapu sticks,Maka'ainana labor,Hereditary,Crisis-Specific Innovation: Sustainable yields through mountain-sea zones,Mauka-makai zoning,Polynesian exchange,<contentious>,Moon calendars  
Fijian Bati Warrior Guilds,Spirit warriors,Military Brotherhood,Yam mounds,Permanent warrior class,Club-carved laws,Club-carved laws,Kava ceremonies,Initiation,Collapse/Rebirth: Colonial co-optation of tattooed mercenaries,Tabu sites,Melanesian trade,<contentious>,Masi art  
Saho-Irob Mountain Democracies,Sacred peaks,Pastoral Democracy,Honey harvests,Tribal militias,Honey-sharing pacts,Honey-sharing pacts,Highland clans,Consensus,Crisis-Specific Innovation: Drought-resistant highland clans,Beehive stewardship,Red Sea trade,<contentious>,Rock art  
Yoruba Ogboni Earth Justice,Earth cult,Geomantic Democracy,Ikín divination,Tribal militias,Ikín divination,Ifá oracles,Consensus,3 (Colonial disruption),Syncretism: Sacred groves mediating geomantic democracy,Trans-Saharan routes,<contentious>,Ifá corpus  ,
Igbo Umunna Councils,Ancestral shrines,Segmentary Democracy,Yam barns,Tribal militias,Nsibidi symbols,Nsibidi symbols,Age-grade systems,Consensus,Reform: Conflict resolution through lineage-based councils,Ofo sticks,Bight of Benin trade,<contentious>,Mbari art  
Yupik Bladder Festival Rule,Animist ecology,Ritual Ecology,Seal hunts,Tribal militias,Bladder masks,Bladder masks,Winter ceremonies,Charismatic,Crisis-Specific Innovation: Arctic adaptation through seal rituals,Taboo hunting grounds,Bering Strait trade,<contentious>,Mask lore  
Marshallese Stick Chart Navigators,Wave patterns,Nautical Gerontocracy,Taro pits,Naval militias,Stick maps,Stick maps,Canoe guilds,Apprenticeship,Crisis-Specific Innovation: Oceanic wayfinding via hydrography,Coral atoll conservation,Micronesian trade,<contentious>,Stick charts  
Samoan Matai Talking Chiefs,Fa'a Samoa,Oratorial Democracy,Taro plantations,Tribal militias,Proverb debates,Proverb debates,Aiga kinship,Consensus,Reform: Resilient hierarchy through orator-chiefs,Va'a canoe networks,Polynesian confederacies,<contentious>,Tatau  
Nenets Yamal Clan Councils,Sacred sledges,Antler Democracy,Reindeer herds,Tribal militias,Bone notches,Bone notches,Shamanic clans,Consensus,Crisis-Specific Innovation: Nomadic flexibility with reindeer tallies,Permafrost protection,Arctic trade,<contentious>,Drum symbology  
Xingu Tribal Aquatic Law,River spirits,Fluvial Anarchy,Fish weirs,Tribal militias,Water glyphs,Water glyphs,Multi-ethnic pacts,Consensus,Crisis-Specific Innovation: Amazonian symbiosis through fishing taboos,Sacred waterfalls,Interfluvial trade,<contentious>,Body paint  
Faroese Sheep Court,Tinganes law,Pastoral Democracy,Wool production,Tribal militias,Stone boundary marks,Stone boundary marks,Norse kinship,Rotation,Reform: Scandinavian continuity in pasture governance,Grassland management,North Atlantic trade,<contentious>,Sheep tallies  
Seljuk Iqta System,Islamic iqta,Conditional Feudalism,Land grants,Standing army,Iqta contracts,Iqta contracts,Turkic-Muslim fusion,Appointment,Collapse/Rebirth: Mongol collapse of conditional land grants,Caravanserais,Silk Road,<contentious>,Persianate  
Almoravid Lamtuna Councils,Maliki fatwas,Theocratic Stratocracy,Oasis control,Standing army,Fatwa rulings,Fatwa rulings,Berber Islam,Consensus,Collapse/Rebirth: Almohad overthrow of desert codes,Desert cisterns,Trans-Saharan,<contentious>,Quranic  
Cahokia Birdman Dynasty,Mississippian cult,Astro-Theocracy,Maize stores,Tribal militias,Woodhenge calendars,Woodhenge calendars,Moundbuilder cult,Hereditary,Collapse/Rebirth: Drought collapse of Mississippian theocracy,Monks Mound,Mississippi trade,<contentious>,Copper plates  
Norman Feudal Domesday,Oath fealty,Bureaucratic Feudalism,Manorial rolls,Feudal levies,Domesday Book,Domesday Book,Chivalric codes,Appointment,Reform: Record-keeping for centralized land census,Castle networks,European trade,<contentious>,Latin  
Cuman Tribal Federations,Tengri worship,Equestrian Democracy,Steppe pastures,Temporary war parties,Balbals (statues),Balbals (statues),Turkic clans,Consensus,Collapse/Rebirth: Mongol absorption of steppe federations,Kurgan burials,Pontic trade,<contentious>,Tamgas  
Great Zimbabwe Rain Priests,Mwari cult,Architectural Theocracy,Gold mines,Standing army,Star maps,Star maps,Shona lineage,Hereditary,Collapse/Rebirth: Trade decline ending monsoon astronomy,Great Enclosure,Indian Ocean,<contentious>,Soapstone  
Frisian Sea-Law Tribunals,Wadden law,Hydraulic Jurisprudence,Dike taxes,Tribal militias,Wadden assemblies,Wadden assemblies,Frisian freedom,Election,Reform: Maritime law through tidal customary courts,Terpen mounds,Hanseatic,<contentious>,Waterrecht  
Kanem-Bornu Sufi Knights,Islamic scholarship,Islamic Stratocracy,Trans-Saharan trade,Standing army,Ajami scripts,Ajami scripts,Sufi orders,Appointment,Crisis-Specific Innovation: Saharan resilience through camel cavalry,Lake Chad,Sahel routes,<contentious>,Kanuri  
Mossi Naam Militias,Ancestral vows,Gerontocratic Militarism,Millet fields,Permanent warrior class,Initiation scars,Initiation scars,Age-set warriors,Rotation,Collapse/Rebirth: French resistance ending age-grade warriors,Sacred groves,Volta trade,<contentious>,Dagomba  
Maldivian Furya Coral Councils,Islamic coral law,Islamic Atoll Democracy,Tuna fisheries,Naval militias,Coral engravings,Coral engravings,Atoll kinship,Consensus,Crisis-Specific Innovation: Sea-level adaptation through coral mosques,Coral mosques,Indian Ocean,<contentious>,Dhivehi  
Pueblo Kiva Councils,Kachina cult,Theocratic Democracy,Corn storage,Tribal militias,Oral traditions,Oral traditions,Clan moieties,Consensus,Crisis-Specific Innovation: Drought adaptation via underground councils,Taos Pueblo,Southwest trade,<contentious>,Petroglyphs  
Romani Kris Councils,Nomadic law,Nomadic Jurisprudence,Caravan trade,Tribal militias,Oral precedents,Oral precedents,Vitsa kinship,Appointment,Crisis-Specific Innovation: Diaspora resilience through traveling courts,Taboo codes,Trans-European,<contentious>,Patrin  
Venetian Arsenal Guilds,State corporatism,Industrial Corporatism,Ship timber,Naval forces,Guild votes,Guild votes,Artisan pride,Promotion,Reform: Naval innovation through state-run shipyard collectives,Lagoon management,Mediterranean,<contentious>,Guild  
Khmer Water Mandala,Devaraja cult,Hydro-Theocracy,Rice irrigation,Standing army,Sanskrit hydrology,Sanskrit hydrology,Angkor cosmology,Hereditary,Collapse/Rebirth: Monsoon shifts disrupting hydraulic mandala,Baray lakes,Mekong trade,<contentious>,Naga  
Novgorod Veche Republic,Birchbark democracy,Urban Democracy,Fur trade,Urban militias,Birchbark letters,Birchbark letters,Veche assembly,Election,Syncretism: Hanseatic ties with bell-summoned merchant assemblies,Kremlin walls,Baltic trade,<contentious>,Pskov  
Haudenosaunee (Iroquois) Great Law of Peace,Peacemaker,Participatory Confederation,Three Sisters,Tribal confederation forces,Wampum diplomacy,Wampum diplomacy,Clan mothers,Consensus,Reform: Confederacy model requiring unanimous decisions,Longhouse,Great Lakes,<contentious>,Wampum  
Cathar Perfecti Councils,Gnostic elect,Egalitarian Theocracy,Textile trade,Religious militias,Secret gospels,Secret gospels,Dualist rites,Initiation,Collapse/Rebirth: Crusade destruction of dualist communes,Montségur,Languedoc,<contentious>,Cathar  
Hanseatic Kontor,Commercial Autonomy,Merchant courts,Trade monopolies,Private security,Hanseatic seals,Warehouse laws,Catholicism,Election,Syncretism: Commercial autonomy + extraterritorial privileges,German merchant enclaves with extraterritorial privileges,Venetian fondaco,Medium (trade security),Commercial ledgers
Bavarian Beer Hall Communes,Brewery Corporatism,Taverne courts,Guild monopolies,Urban militias,Brewmaster councils,Water purity laws,Catholicism,Appointment,Reform: Municipal breweries as civic governments,Municipal breweries as de facto civic governments,Hanseatic guilds,Low (localized),Brewing records
Javanese Kabuyutan Councils,Scholastic Oligarchy,Poetry debates,Esoteric knowledge,Religious militias,Palm-leaf manuscripts,Sacred forests,Hindu-Buddhism,Co-optation,Syncretism: Hindu-Buddhist scholastic oligarchy,Hindu-Buddhist forest universities as policy hubs,Tibetan monasteries,Low (localized),Palm-leaf knowledge systems
Kven Arctic Trader Networks,Bilingual Meritocracy,Ski races,Cultural mediation,Tribal militias,Rune stick tallies,Taiga corridors,Syncretic,Apprenticeship,Crisis Innovation: Bilingual meritocracy for Arctic trade,Sami-Norse hybrid traders governing winter routes,Inuit,Low (localized),Runic tallies
Rapa Iti Tūtae Councils,Guano Egalitarianism,Dance-offs,Fertilizer control,Tribal militias,Bird-nest tallies,Terrace composting,Polynesian religion,Rotation,Collapse/Rebirth: Guano-based island collectives,Bird-guano fertilizer collectives governing tiny islands,Easter Island,None (localized),Oral traditions
Rapa Nui Tangata Manu Trials,Ritual Meritocracy,Ordeal trials,Physical prowess,Tribal militias,Rongorongo tablets,Terrace farming,Birdman cult,Competition,Collapse/Rebirth: Ritual meritocracy post-ecological stress,Annual birdman competitions for clan leadership,Mayan ballgame,Low (island limitations),Rongorongo script
Rapa Nui Birdman Cult,Ritual Meritocracy,Ordeal trials,Physical prowess,Tribal militias,Rongorongo tablets,Terrace farming,Makemake religion,Competition,Collapse/Rebirth: Competition system after resource depletion,Annual competition for clan leadership via egg hunting,Mayan ballgame,Low (island limitations),Rongorongo script
Benin Oba Eweka Dynasty,Palace Bureaucracy,Ordeal trials,Guild monopolies,Standing army,Uzama council votes,Sacred groves,Edo religion,Hereditary,Reform: Palace bureaucracy with guild checks,West African sacred kingship with guild bureaucracy,Khmer devaraja, Ashanti confederacy,<unknown>
Benin Oba Divine Kingship,Theocratic Bureaucracy,Oracle trials,Ritual authority,Standing army,Uzama council,Sacred groves,Benin religion,Hereditary,Syncretism: Sacred monarchy + bronze guilds,Sacred monarchy with guild-based bronze bureaucracy,Khmer devaraja, Egyptian pharaohs,<unknown>
Evenk Tungus Clan Federations,Forest Band Democracy,Archery contests,Trapping skill,Tribal militias,Bark pictographs,Controlled burns,Shamanism,Consensus,Crisis Innovation: Birchbark treaty systems for taiga,Mobile taiga hunters with birchbark treaty systems,Mongol tribes, Native Algonquins,<unknown>
Alpine Pastoral Communes,Common-Pool Resource Governance,Mediation elders,Use-rights,Tribal militias,Alp voting rounds,Seasonal meadows,Christian/Animism,Rotation,Crisis Innovation: Rotational grazing commons,High-altitude shared grazing systems with rotational management,Andean ayllus, Norse félags,<unknown>
Maluku Sasi Harvest Bans,Ritual Resource Communism,Mediation sticks,Ancestral laws,Tribal militias,Bamboo calendars,Forest taboos,Animism,Consensus,Crisis Innovation: Ritual resource communism,Sacred seasonal prohibitions (sasi) on nutmeg/cloves; Village-enforced harvest bans,Hawaiian kapu, Swiss alpine rules; Japanese iriai,<unknown>
Inuit Qaggiq Ice-Block Parliaments,Cryo-Democracy,Song duels,Survival skills,Tribal militias,Drum dances,Sea ice tracking,Animism,Consensus,Crisis Innovation: Seasonal ice-block conflict resolution,Seasonal ice-block meetings for conflict resolution; Snow-house assemblies for inter-band disputes,San Xaro, Iroquois talking circles; Iroquois longhouse,<unknown>
Cornish Stannary,Mineral Rights Autonomy,Jury courts,Tin monopoly,Tribal militias,Stannary charters,Stream management,Celtic Christianity,Elective,Reform: Tin-mining autonomous parliaments,Tin-mining districts with autonomous parliaments,Swiss cantons, Iroquois league,<unknown>
Mongolian Kurultai,Steppe Elective Monarchy,Tribal debates,Military loyalty,Temporary war parties,Secret History,Seasonal camps,Tengrism,Acclamation,Syncretism: Steppe elective monarchy + imperial council,Nomadic imperial council electing khans via consensus,Hunnic assemblies, Göktürk Orkhon Script Khans,<unknown>
Delhi Sultanate Slave Kings,Slave Dynasty,Qazi courts,Military slavery,Standing army,Firman decrees,Stepwells,Sunni Islam,Appointment,Reform: Slave-soldier bureaucracy (Mamluk model),Ex-military slaves ruling via Persian bureaucracy,Mamluk Egypt, Ottoman devshirme,<unknown>
Magna Carta Baronage,Feudal Constitutionalism,Common law courts,Land ownership,Feudal levies,Charter clauses,Forest laws,Catholicism,Inheritance,Reform: Feudal constitutionalism,Feudal contract limiting royal power via council,Polish Golden Liberty, US Constitution,<unknown>
Transylvanian Saxon Seats,Ethnic Corporatism,Saxon courts,Privileged status,Urban militias,Stuhlvogt elections,Forest laws,Lutheranism,Appointment,Syncretism: Ethnic autonomy charters,German immigrant towns with ethnic autonomy charters,Teutonic Order, Hanseatic cities,<unknown>
Teutonic Ordensstaat,Military Theocracy,Trial by combat,Divine mandate,Permanent warrior class,Brick fortresses,Drained wetlands,Catholicism,Election,Reform: Crusader-monk military theocracy,Crusader-monk state ruling via brick castle networks,Knights Hospitaller, Tibetan lama-state,<unknown>
Mali Mansa Rule,Sacred Monarchy,Quranic judges,Pilgrimage prestige,Standing army,Griot archives,Niger irrigation,Islam,Hereditary,Syncretism: Islamic sacred monarchy + griot historians,Gold-rich empire with griot historians and royal pilgrims,Ghana Empire, Solomon's Temple,<unknown>
Golden Horde Yam System,Equestrian Bureaucracy,Horse relays,Logistics control,Standing army,Passeport plaques,Steppe conservation,Islam/Tengrism,Appointment,Crisis Innovation: Mounted postal network as administration,Mounted postal network as de facto administration,Inca chasquis, Persian angaria,<unknown>
Lithuanian Pagan Kings,Sacred Kingship,Ritual combat,Divine mandate,Feudal levies,Sacred oak groves,Forest burning,Baltic polytheism,Hereditary,Collapse/Rebirth: Forest monarchy resisting Christianization,Forest-based monarchy resisting Christianization,Aztec priesthood, Norse pagans,<unknown>
Rhenish City Leagues,Urban Confederacy,Commercial courts,Trade routes,Urban militias,Ratification diets,River patrols,Catholicism,Treaties,Reform: Shared legal codes for commercial federations,Commercial federations with shared legal codes,Hanseatic League, Iroquois Confederacy,<unknown>
Genoese Black Sea Colonies,Plutocratic Colonialism,Arbitration panels,Trade monopolies,Naval forces,Notarial contracts,Salt pan management,Catholicism,Appointment,Syncretism: Merchant oligarchies in Crimean ports,Italian merchant oligarchies ruling Crimean ports,Venetian Republic, Phoenician colonies,<unknown>
Yuan Semu Caste System,Ethnocratic Feudalism,Khan's justice,Conquest legacy,Standing army,Tax codes,Postal stations,Lamaism,Hereditary,Reform: Ethnocratic feudalism (Mongol hierarchy),Mongol-imposed ethnic hierarchy (Mongols > Semu > Han),Spanish casta, Indian varna,<unknown>
Andorran Co-Principality,Parliamentary Diarchy,Tribunal courts,Feudal relics,Feudal levies,General Council votes,Hydroelectric dams,Catholicism,Election,Reform: Parliamentary diarchy (oldest surviving),Unique diarchy with French president + Spanish bishop as co-rulers,Spartan dual kingship, Holy Roman Empire,<unknown>
Swiss Cantonal Militias,Participatory Republic,Popular courts,Civic militia,Citizen militia,Landsgemeinde votes,Alpine grazing,Protestantism,Rotation,Reform: Participatory republic with rotating leadership,Direct democracy with rotating peasant-soldier leadership,Athenian democracy, Iroquois league,<unknown>
Majapahit Terracotta Bureaucracy,Ceramic Meritocracy,Ordeal by fire,Administrative exams,Standing army,Clay seal stamps,Volcanic soil management,Hindu-Buddhist,Appointment,Syncretism: Ceramic meritocracy (clay administrators),Thousands of terracotta officials administering Java,Chinese keju, Qin legalism,<unknown>
Venetian Merchant Oligarchy,Plutocratic Republic,Council of Ten,Trade monopolies,Naval forces,Ballottino system,Lagoon engineering,Catholicism,Sortition,Reform: Plutocratic lottery system,Wealth-qualified patricians ruling via elaborate lotteries,Dutch Republic, Carthage,<unknown>
Māori Umu Tī Earth Oven Parleys,Culinary Democracy,Food-sharing rituals,Prestige feasting,Tribal militias,Cooking pit layouts,Terraced gardens,Polynesian religion,Oratory skill,Crisis Innovation: Feast-based land negotiations,Feast-based negotiations over sweet potato (kūmara) plots,Potlatch, African palaver,<unknown>
Māori Iwi River Federations,Riverine Stratocracy,Ritual combat,Mana (prestige),Tribal militias,Carved meeting houses,Eel weirs,Polynesian religion,Hereditary,Crisis Innovation: Riverine stratocracy (fortified pā),Tattooed warlords managing fortified pā villages,Iroquois longhouses, Zulu kraals,<unknown>
Buganda Clan-Based Monarchy,Segmentary Monarchy,Clan mediation,Lineage prestige,Standing army,Luganda proverbs,Wetland farming,Ancestor worship,Hereditary,Syncretism: Segmentary monarchy (52 clan roles),52 patrilineal clans (ssiga) each managing royal functions,Holy Roman Empire, Japanese shōen,<unknown>
Timbuktu Qadi Scholar-Judges,Scholastic Theocracy,Mosque debates,Religious knowledge,Religious militias,Arabic manuscripts,Saharan water laws,Sunni Islam,Appointment,Reform: Scholastic theocracy (Sankore fatwas),Islamic jurists ruling via Sankore University fatwas,Medieval Paris, Baghdad House of Wisdom,<unknown>
Wolof Garmi Anti-Corruption,Anti-Feudal Autocracy,Public audits,Administrative skill,Standing army,Arabic ledgers,Sahel farming,Islam,Appointment,Reform: Royal slave auditors,Royal slaves (jaami-buur) auditing noble administrations,Ottoman devshirme, Chinese censors,<unknown>
Wolof Ceddo Slave Armies,Military Caste System,Poetic jousts,Military service,Permanent warrior class,Grionic epics,Savanna burning,African traditional,Hereditary,Syncretism: Non-Muslim military caste balance,Non-Muslim warrior caste balancing Muslim clerics,Spartan helots, Ottoman kapıkulu,<unknown>
Ayutthaya Elephant Bureaucracy,Zoocratic Meritocracy,Animal trials,Royal pachyderms,Standing army,Elephant registers,Canal networks,Theravada Buddhism,Appointment,Crisis Innovation: Zoocratic meritocracy,White elephant administrators ranking officials,Khmer, Mughal mansabdars,<unknown>
Lan Xang Million Elephant Kings,Pachyderm Feudalism,Royal duels,Animal prestige,Standing army,White elephant edicts,Forest conservation,Theravada Buddhism,Hereditary,Syncretism: Buddhist elephant militias,Buddhist kings mobilizing war-elephant militias,Khmer, Burmese Toungoo,<unknown>
Hanseatic League,Commercial Confederation,Kontor courts,Trade monopolies,Naval forces,Hanseatic diets,Port maintenance,Catholicism,Election,Reform: Commercial confederation with extraterritorial posts,Merchant guild federation with extraterritorial trading posts,Venetian Republic, Phoenician colonies,<unknown>
Rhenish Hanseatic Cities,Urban Commercial League,Merchant courts,Commercial treaties,Urban militias,Hanseatic diets,Warehouse laws,Catholicism,Election,Reform: Urban commercial league (shared laws),Merchant oligarchies with shared trade laws,Venetian Republic, Swahili city-states,<unknown>
Ragusan Aristocratic Republic,Maritime Oligarchy,Rector's court,Patrician lineages,Naval forces,Small Council votes,Quarantine laws,Catholicism,Sortition,Reform: Maritime oligarchy (patrician senate),Adriatic city-state ruled by patrician senate with slave galleys,Venetian Republic, Genoa,<unknown>
Ming Yellow Register Census,Statistical Autocracy,Mutual surveillance,Administrative control,Standing army,Paper ledgers,Tree planting,Neo-Confucianism,Hereditary,Reform: Statistical autocracy (corvée quotas),Population registers enforcing corvée labor quotas,Inca quipu, Ottoman defters,<unknown>
Kongo Mbanza Council,Sacred Urbanism,Oracle trials,Ritual authority,Standing army,Nsibidi glyphs,Agroforestry,Syncretic Christianity,Rotation,Syncretism: Sacred urbanism + elected advisors,Spiral-planned capital with elected noble advisors,Benin City, Roman Curia,<unknown>
Bamum Script Bureaucracy,Literate Autocracy,Calligraphy contests,Script knowledge,Standing army,Shümom script,Fish ponds,Bamum religion,Appointment,Reform: Literate autocracy (invented script),Syllabic-writing administrators under king-scholars,Korean hangul, Cherokee syllabary,<unknown>
Joseon Confucian Bureaucracy,Neo-Confucian State,Hyangyak courts,Scholarly prestige,Standing army,Exam halls,Seed banks,Confucianism,Exams,Reform: Neo-Confucian civil service exams,Meritocratic civil service under royal secretariats,Chinese keju, British civil service,<unknown>
Malacca Straits Mandala,Maritime Tributary,Qadi courts,Naval dominance,Naval forces,Malay legal codes,Mangrove conservation,Syncretic Islam,Dynastic,Syncretism: Hindu-Muslim maritime tributary,Hindu-Muslim port kingdom with rotating tribute alliances,Majapahit, Swahili city-states,<unknown>
Scottish Tacksmen,Gaelic Semi-Feudalism,Bardic mediation,Kin obligations,Feudal levies,Rental ledgers,Runrig farming,Presbyterianism,Hereditary,Collapse/Rebirth: Gaelic semi-feudalism post-Clearances,Clan-based leaseholders managing Highland estates,Iroquois land chiefs, Russian pomestye,<unknown>
Circassian Xabze Councils,Egalitarian Jurisprudence,Blood feuds,Honor code,Tribal militias,Proverb courts,Alpine pastures,Syncretic Islam,Consensus,Crisis Innovation: Mountain customary law,Oral law councils enforcing mountain customary law,Iroquois league, Swiss cantons,<unknown>
